,Question,Annotator 0,Annotator 1,Annotator 2,Annotator 3,Annotator 4,Annotator 5,Annotator 6,Annotator 7,Annotator 8
0,Expertise,25,19,10,50,0,0,73,10,25
1,Gm F7 Bb,Cm7 D7 _,C D7 _,Am G _,Am7 Cm7 _,B C#-Db _,G F# Fm7,Cm Gm _,F# G#-Ab _,Dm Cm Am
2,E F#m A D Bm E,F#7 D#7-Eb7 _,A F#m _,Am F#m _,A F# _,C#7-Db7 D#7-Eb7 _,F# Cm F7,A F#m _,E7 Bbm _,G A _
3,D A B7,E Em _,G A7 _,E7 Dm _,G Dm _,G G#-Ab _,Bm7 Dm7 _,B E _,Bm Cm7 _,Em G _
4,Am Dm Am E Am G,C B7 _,Dm B _,Am Bm _,A F#m _,F E _,Am E _,E Dm Am,Am C7 _,Am Bm _
5,C Dm G7,Am E7 _,C B _,Em7 D#m7-Ebm7 _,A7 Em _,G#-Ab F# _,G#-Ab F7 _,C Am _,Gm7 Em _,A Am _
6,Em G Bm,A D _,D A _,A D _,B7 A _,D7 E7 _,Am A7 _,Am Dm G,E Dm _,C#m-Dbm Am _
7,C F Dm F C F,G D D7,Dm Gm _,Dm Em _,E F7 _,C A _,Bm Am _,G Dm _,C Em _,Dm C _
8,C#m D A,E B7 _,C#m-Dbm B _,G#-Ab Gm _,Bb G#-Ab _,F G _,F C _,Cm7 F#m _,Bb7 E7 _,Bm F#m _
9,B F# E G#m F# E,D#-Eb G#-Ab _,B F# _,C#-Db D#m-Ebm _,A E7 _,G#m-Abm D7 _,Bbm F _,B D#m-Ebm _,G Bm _,B C#m-Dbm _
10,G D Em,C F _,A C _,Cm Am _,C C#m-Dbm _,F#m G#m-Abm _,Dm7 Am _,C B7 _,F7 D#m7-Ebm7 _,D Bm _
11,G7 Fm Cm,F7 D _,E7 A7 _,A7 D7 _,Am C7 _,B7 F7 _,Am Bbm _,Bbm Bm _,Dm Gm7 _,Dm Gm _
12,Am Em A Em Am Em,F#m D _,G C _,B G#-Ab _,E7 D _,A Am _,Gm G _,Gm F#7 _,A F7 _,A Am _
13,Am E7 Am C G Am,F D _,E7 E _,Dm D7 _,Bb G7 _,Bm7 Cm7 _,Bm Bm7 _,B7 F _,E7 E _,Bm Dm _
14,F#m Bm Db,G A7 _,A F#m _,D#-Eb F# _,F# A _,C#-Db C#7-Db7 _,D G7 _,F#m C#m-Dbm _,C7 Bbm _,F#m Bm _
15,C#m D A Bm F#m E,D Am _,A Bm _,C G _,A E7 _,G#7-Ab7 G#m-Abm _,F F7 _,C#-Db D _,A Cm _,C#m-Dbm D _
16,A E B,D G _,A E _,G#-Ab Dm _,Bb Cm _,Bbm Bbm7 _,D C _,C#7-Db7 C#-Db _,G Dm _,D C _
17,C# C Fm C C# D#,F G _,G#-Ab Fm _,D Gm _,F D _,F7 D7 _,Bbm7 Bm7 _,Fm G#-Ab _,D E _,C Fm _
18,G C D Am D G,E B7 _,B C _,Dm Cm7 _,G7 D7 _,C D _,D E _,E Am _,C7 Gm7 _,C Am _
19,C D Bm G C Cm,D F _,Bm A _,Am Em _,Em G _,D7 D#7-Eb7 _,Bb B7 _,Am7 D _,C Dm _,G C _
20,D Am C D Fm Em,G B7 _,Dm D _,Dm D _,Dm Gm _,Am A7 _,Bb A7 _,D#m-Ebm G _,Cm D7 _,D Fm _
21,G Am F,C D _,Am C _,Cm Gm _,C Bbm7 _,G G#-Ab _,D Bbm _,E7 Dm _,Dm E7 _,D C _
22,Bm B7 Em,E G _,E7 B7 _,G7 E7 _,G C _,F#m F#m7 _,Dm Bbm _,Dm C _,Fm Gm7 _,Bm E7 _
23,Em B Em B Bm D,C A _,Em B _,Bm Bbm _,G F# _,Dm Em _,G D _,C#-Db G _,C7 Em _,Em Bm _
24,D F#m D F#m D E,Bm A _,Bm D _,D Dm _,C#7-Db7 Fm _,Fm F#m _,D D#-Eb _,C#-Db C#7-Db7 _,Dm7 C7 _,D F#m _
25,C Am F Em Am Em,G Bm _,G C _,F G _,C F# _,Am F _,D#m-Ebm C7 _,D7 G _,Am Bb _,C Am _
26,Dm A7 Dm,D#-Eb Gm _,E7 B _,A7 Bb7 _,Gm D7 _,A7 Bb7 _,Dm C#m-Dbm _,F#7 C#7-Db7 _,E G _,A7 Em _
27,G#m7 D#m7 F#,C#-Db Bb _,G#m7-Abm7 G#-Ab _,F#7 G#-Ab _,D G7 _,D#-Eb D#7-Eb7 _,C#-Db Bm _,C#m7-Dbm7 G#m-Abm _,A7 Dm _,G#m7-Abm7 C#m7-Dbm7 _
28,E D Bm E F#m F,E7 D _,E Bm _,E F# _,G D _,D7 D#7-Eb7 _,D F#m7 _,E E7 _,E Dm _,E G _
29,D A G,C Bm _,D B _,E Am _,F# F7 _,Gm Dm _,A F _,D E _,D7 Em _,D B _
30,Bbm D#m Bbm F# Bbm D#m,G#-Ab F _,Bbm E _,Bbm Bm _,Gm C7 _,Bbm Bm _,Bbm F#m7 _,C#-Db F7 _,Bbm F# _,Bbm F# _
31,G7 C D,F Am7 _,G7 B _,G E _,G Bm _,F G _,F Gm _,G A _,Em G _,G7 A _
32,D7 G D7 Am D7 G,E7 A _,B D7 _,D7 D#7-Eb7 _,Em C#-Db _,D7 Am _,D7 Gm7 _,E7 D7 _,D7 A7 _,D7 Am _
33,D Em D,A Am _,Bm G _,Cm Em _,G Bbm7 _,Bm Cm _,Em D _,C G _,Cm Fm _,Em A _
34,Bm7 C F,G D7 _,Am7 G _,Gm7 Dm7 _,F7 A7 _,G G#-Ab _,G#7-Ab7 D7 _,D D7 _,Em Dm7 _,B D _
35,Bb F7 Bb Bb7 Eb F7,A7 Gm _,Bb7 A _,D#-Eb E _,Bb D#-Eb _,D#m-Ebm Em _,Bb Gm _,G7 F _,Fm Bb7 _,Bb D#-Eb _
36,D7 C A7,G#-Ab F7 _,B E _,Cm Fm _,Am7 G7 _,Am Bbm _,B G#-Ab _,B7 A _,B7 G _,C E7 _
37,B7 Em Am B7 Em B7,A A7 _,F# Am _,Am Bm _,Am7 A _,C7 Bm _,Em G7 _,Em G7 _,Am A7 _,Am Em _
38,Bm7 E7 A7,C F _,B G _,Cm7 Bb _,Bb A7 _,Bm Bm7 _,G G7 _,D7 D#-Eb _,Bm7 Fm7 _,Bm7 E7 _
39,A B F#,G D _,G#-Ab A _,G Am _,Cm7 Am _,G#-Ab F#7 _,G7 Gm7 _,E Bbm7 _,Am B7 _,A B _
